Media_ID,Title,Region,Genre,Has_Updates,Status,Updates_Count,XML_Updates,Direct_Updates,Total_Size_MB,Update_Version,Update_URL,Update_SHA1,Update_Size_MB,Update_Filename,Update_Type
PCSF00033,Cliff Diving,EU,Sports » General,True,success,1,0,0,45.83563232421875,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00033/PCSF00033_T0/00306c2cf7747be8/EP9000-PCSF00033_00-ARSCLIFFDIVING00-A0101-V0101-96b8e4b3433365154e9cff278d67418a6c278d99-PE.pkg,2A85E0E495F218A382EAA603AF375A682417353A,45.83563232421875,EP9000-PCSF00033_00-ARSCLIFFDIVING00-A0101-V0101-96b8e4b3433365154e9cff278d67418a6c278d99-PE.pkg,XML Direct Link
PCSG00003,BlazBlue: Continuum Shift Extend,JP,Action » Fighting » 2D,True,success,1,0,0,2.0511932373046875,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00003/PCSG00003_T0/33740acc4ce40dbb/JP0036-PCSG00003_00-BBCSEXNGP0001000-A0101-V0100-8b37e48548dbbf73c6c5244d2420572393b816a1-PE.pkg,E788FA679C5906B87E93B8F0C022BB44B690FBD8,2.0511932373046875,JP0036-PCSG00003_00-BBCSEXNGP0001000-A0101-V0100-8b37e48548dbbf73c6c5244d2420572393b816a1-PE.pkg,XML Direct Link
PCSF00023,Escape Plan,EU,Miscellaneous » Puzzle,True,success,1,0,0,1452.2943420410156,01.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00023/PCSF00023_T4/144a9d1080d1a0e8/EP9000-PCSF00023_00-ESCPGAMEMASTEREU-A0104-V0100-65d8a9d4c7ae9d2194345dde9efc021e77de3f46-PE.pkg,B6CB9667D39479CCD14FE582976DAC944152B392,1452.2943420410156,EP9000-PCSF00023_00-ESCPGAMEMASTEREU-A0104-V0100-65d8a9d4c7ae9d2194345dde9efc021e77de3f46-PE.pkg,XML Direct Link
PCSG00029,Mahjong Fight Club: Shinsei Zenkoku Taisen Han,JP,Miscellaneous » Board Games,True,success,1,0,0,65.78572082519531,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00029/PCSG00029_T1/00314d696e195b6c/JP0101-PCSG00029_00-0000000000000000-A0101-V0103-31444bb002d92b5ed72a757171b7e7cbf17397ab-PE.pkg,5FD317E45D771700DF7F36158EF3672959F6D637,65.78572082519531,JP0101-PCSG00029_00-0000000000000000-A0101-V0103-31444bb002d92b5ed72a757171b7e7cbf17397ab-PE.pkg,XML Direct Link
PCSF00035,Fireworks,EU,Miscellaneous » General,False,no_updates,0,0,0,0.0,,,,,,
PCSG00012,Asphalt: Injection,JP,Driving » General,False,no_updates,0,0,0,0.0,,,,,,
PCSF00043,Frobisher Says!,EU,Miscellaneous » Compilation,True,success,1,0,0,56.64595031738281,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00043/PCSF00043_T0/4fabe6ea39b2bed1/EP9000-PCSF00043_00-FROBISHERSAYS001-A0101-V0101-0674d7c78e44c32239c7b64475f1a8b0cea5f772-PE.pkg,3DB74F3EFFEA16CCD2FD9797066BA023A4B66838,56.64595031738281,EP9000-PCSF00043_00-FROBISHERSAYS001-A0101-V0101-0674d7c78e44c32239c7b64475f1a8b0cea5f772-PE.pkg,XML Direct Link
PCSG00021,F1 2011,JP,Driving » Racing,False,no_updates,0,0,0,0.0,,,,,,
PCSF00010,Hustle Kings,EU,Miscellaneous » Parlor,True,success,1,0,0,13.354156494140625,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00010/PCSF00010_T1/6da0fdcb0cd4c2e6/EP9000-PCSF00010_00-UHUSTLEKIN000001-A0101-V0101-6a8ea5360ae157b40226c9f3abf44a9ac56f219c-PE.pkg,DFCA79EBC647D6054329B24C26F926E53A1FAD1E,13.354156494140625,EP9000-PCSF00010_00-UHUSTLEKIN000001-A0101-V0101-6a8ea5360ae157b40226c9f3abf44a9ac56f219c-PE.pkg,XML Direct Link
PCSC00006,WipEout 2048,JP,Driving » Racing,True,success,1,0,0,248.15455627441406,01.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC00006/PCSC00006_T8/035872e1a3154381/JP9000-PCSC00006_00-WIPEOUT2048BASE0-A0104-V0100-c98f7094ce7c81865a7ae10f5cdb399a9ddfdc07-PE.pkg,D10B8C062A48AB6ACED2E6BC3535E40647A902E4,248.15455627441406,JP9000-PCSC00006_00-WIPEOUT2048BASE0-A0104-V0100-c98f7094ce7c81865a7ae10f5cdb399a9ddfdc07-PE.pkg,XML Direct Link
PCSF00046,MotorStorm RC,EU,Driving » Racing,True,success,1,0,0,61.015045166015625,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00046/PCSF00046_T1/eafbabc37b77bba6/EP9000-PCSF00046_00-UMOTORSTOR000001-A0102-V0100-a8e0b20ad38e015989367da58ff4b7348255f1df-PE.pkg,9A402EC6D2AD77ED19EA7A95499D6DD470276D80,61.015045166015625,EP9000-PCSF00046_00-UMOTORSTOR000001-A0102-V0100-a8e0b20ad38e015989367da58ff4b7348255f1df-PE.pkg,XML Direct Link
PCSG00009,Tales of Innocence R,JP,Role-Playing » Console-style RPG,False,no_updates,0,0,0,0.0,,,,,,
PCSF00105,Plants vs. Zombies,EU,Strategy » General,True,success,1,0,0,20.676986694335938,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00105/PCSF00105_T0/1b353f0dd321911e/EP0017-PCSF00105_00-PLANTSVSZOMBIES0-A0101-V0100-56e4fd7d4ad5aad37b498874790a9ca68d72791b-PE.pkg,562FC3AB05CE6FF1C4E019DD3E9D141B7F3556DA,20.676986694335938,EP0017-PCSF00105_00-PLANTSVSZOMBIES0-A0101-V0100-56e4fd7d4ad5aad37b498874790a9ca68d72791b-PE.pkg,XML Direct Link
PCSG00025,Ragnarok Odyssey,JP,Role-Playing » Action RPG,True,success,1,0,0,73.31562805175781,01.32,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00025/PCSG00025_T9/8c786a699bfdf1ea/JP0747-PCSG00025_00-APP0000000000000-A0132-V0100-0ab75ab0c47be02b2b9598cc117412fcfc8beef6-PE.pkg,1D1FD4CCD9E5C99DE8536D8E18DEA36627305307,73.31562805175781,JP0747-PCSG00025_00-APP0000000000000-A0132-V0100-0ab75ab0c47be02b2b9598cc117412fcfc8beef6-PE.pkg,XML Direct Link
PCSF00019,Super Stardust Delta,EU,Action » Shooter,False,no_updates,0,0,0,0.0,,,,,,
PCSC00002,Gravity Daze,JP,Action » Platformer » 3D,True,success,1,0,0,99.97088623046875,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC00002/PCSC00002_T11/6f8ed6c6af933e36/JP9000-PCSC00002_00-PDJPAP1626313380-A0102-V0100-fb82024ced5b0534e11a454524e9a5c9998b0fb6-PE.pkg,9D6C22CF2171ABFD86A25C3B0373EA6838403D61,99.97088623046875,JP9000-PCSC00002_00-PDJPAP1626313380-A0102-V0100-fb82024ced5b0534e11a454524e9a5c9998b0fb6-PE.pkg,XML Direct Link
PCSF00062,Table Football,EU,Sports » General,True,success,1,0,0,30.197555541992188,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00062/PCSF00062_T1/896cf9bef9041f49/EP9000-PCSF00062_00-TABLEFOOTBALLEU0-A0101-V0100-8dc2fd9dc09fa6368252f803cddf74839e27efa0-PE.pkg,6B1BB45A9256001772C8951B18A15CE022B4A74E,30.197555541992188,EP9000-PCSF00062_00-TABLEFOOTBALLEU0-A0101-V0100-8dc2fd9dc09fa6368252f803cddf74839e27efa0-PE.pkg,XML Direct Link
