ID,Title,Region,Media_ID,Box_ID,Genre,Released
0139,Jet Set Radio,JP,PCSG-00104,,Action » Platformer » 3D,2013-02-20
0140,FIFA Soccer 13,US,PCSE-00093,,Sports » Traditional » Soccer,2012-09-25
0140,MUD - FIM Motocross World Championship,US,PCSE-00219,,Driving » Racing,2013-02-26
0141,FIFA Soccer 13,US,PCSE-00096,,Sports » Traditional » Soccer,2012-09-25
0141,Ganbare! Zunou-Chan,JP,PCSC-00040,,Miscellaneous » Puzzle,2013-02-28
0142,DJ Max Technika Tune,JP,PCSG-00070,VLJM-35013,Miscellaneous » Rhythm,2012-09-27
0142,Germinator,US,PCSE-00228,,Miscellaneous » General,2013-03-05
0143,NextRev: Shakai Fukushishi Shiken,JP,PCSG-00109,VLJS-00028,Miscellaneous » Edutainment,2012-09-27
0143,Germinator,EU,PCSB-00295,,Miscellaneous » General,2013-03-06
0144,Chikyuu Boueigun 3 Portable,JP,PCSG-00103,VLJS-00027,Action » Shooter » Third-Person,2012-09-27
0144,Hungry Giraffe,EU,PCSB-00246,,Action » General,2013-03-06
0145,Nobunaga no Yabou: Tendou with Power-Up Kit,JP,PCSG-00112,VLJM-30020,Strategy » Turn-Based,2012-09-27
0145,Puzzle by Nikoli V: Sudoku,US,PCSE-00101,,Miscellaneous » Puzzle,2013-03-12
0146,Ys: Celceta no Jukai,JP,PCSG-00105,VLJM-30026,Role-Playing » Action RPG,2012-09-27
0146,International Snooker,EU,PCSB-00157,,Sports » General,2013-03-13
0147,New Little King's Story,EU,PCSB-00109,,Strategy » Real-Time,2012-09-27
0147,Cure Mate Club,JP,PCSG-00169,,Adventure » General,2013-03-14
0148,FIFA 13,EU,PCSB-00170,,Sports » Traditional » Soccer,2012-09-28
0148,Atelier Totori Plus: The Adventurer of Arland,US,PCSE-00231,,Role-Playing » General,2013-03-19
0149,FIFA 13,EU,PCSB-00171,,Sports » Traditional » Soccer,2012-09-28
0149,Nun Attack,US,PCSE-00220,,Strategy » General,2013-03-19
0150,FIFA 13,EU,PCSB-00172,,Sports » Traditional » Soccer,2012-09-28
